"Date","Time","Temp","SpCond","DO Conc","DO Charge","Battery","DO%"
"M/D/Y","hh:mm:ss","C","mS/cm","mg/L","","V","%"
"06/14/10","17:52:40",16.89,0.281,9.19,44,6.3,94.9
"06/14/10","17:56:40",16.91,0.281,9.19,43,6.3,95.0
"06/14/10","18:00:40",16.91,0.281,9.23,44,6.3,95.4
"06/14/10","18:04:40",16.91,0.281,9.18,44,6.3,94.9
"06/14/10","18:08:40",16.90,0.281,9.18,44,6.3,94.9
"06/14/10","18:12:40",16.90,0.281,9.16,43,6.3,94.6
"06/14/10","18:16:40",16.89,0.281,9.21,43,6.3,95.1
"06/14/10","18:20:40",16.89,0.281,9.22,43,6.3,95.2
"06/14/10","18:24:40",16.88,0.281,9.21,43,6.3,95.1
"06/14/10","18:28:40",16.87,0.281,9.21,43,6.3,95.1
"06/14/10","18:32:40",16.86,0.281,9.20,43,6.3,95.0
"06/14/10","18:36:40",16.84,0.281,9.20,43,6.3,94.9
"06/14/10","18:40:40",16.83,0.281,9.14,44,6.3,94.3
"06/14/10","18:44:40",16.82,0.281,9.19,43,6.3,94.8
"06/14/10","18:48:40",16.81,0.281,9.20,43,6.3,94.8
"06/14/10","18:52:40",16.80,0.281,9.20,43,6.3,94.8
"06/14/10","18:56:40",16.79,0.281,9.14,43,6.3,94.2
"06/14/10","19:00:40",16.78,0.281,9.12,43,6.3,94.0
"06/14/10","19:04:40",18.36,0.003,8.53,42,6.3,90.8
"06/14/10","19:08:40",19.03,0.002,8.68,42,6.2,93.7
"06/14/10","19:12:40",19.13,0.002,8.83,42,6.2,95.4
"06/14/10","19:16:40",19.19,0.002,8.86,42,6.2,95.9
"06/14/10","19:20:40",19.09,0.002,8.91,43,6.2,96.2
"06/14/10","19:24:40",19.02,0.002,8.93,43,6.2,96.3
"06/14/10","19:28:40",18.94,0.002,8.95,42,6.2,96.3
"06/14/10","19:32:40",18.84,0.002,8.96,42,6.2,96.3
"06/14/10","19:36:40",18.93,0.185,9.23,44,6.2,99.4
"06/14/10","19:40:40",19.09,0.185,9.30,44,6.2,100.4
"06/14/10","19:44:40",18.99,0.185,9.35,44,6.2,100.8
"06/14/10","19:48:40",18.82,0.185,9.43,44,6.2,101.3
"06/14/10","19:52:40",18.75,0.185,9.53,44,6.2,102.3
"06/14/10","19:56:40",18.74,0.185,9.77,44,6.2,104.8
"06/14/10","20:00:40",18.67,0.185,9.50,44,6.2,101.8
"06/14/10","20:04:40",18.70,0.185,9.24,44,6.2,99.1
"06/14/10","20:08:40",18.70,0.185,9.26,44,6.2,99.3
"06/14/10","20:12:40",18.76,0.185,9.25,44,6.2,99.2
"06/14/10","20:16:40",18.74,0.185,9.25,44,6.2,99.2
"06/14/10","20:20:40",18.73,0.185,9.32,44,6.2,99.9
"06/14/10","20:24:40",18.71,0.185,9.27,44,6.2,99.4
"06/14/10","20:28:40",18.65,0.185,9.38,44,6.2,100.5
"06/14/10","20:32:40",18.71,0.185,9.32,44,6.2,100.0
"06/14/10","20:36:40",18.74,0.185,9.32,44,6.2,99.9
"06/14/10","20:40:40",18.75,0.185,9.45,44,6.2,101.4
"06/14/10","20:44:40",18.73,0.185,9.45,44,6.2,101.4
"06/14/10","20:48:40",18.66,0.185,9.46,44,6.2,101.3
"06/14/10","20:52:40",18.70,0.185,9.40,44,6.2,100.8
"06/14/10","20:56:40",18.74,0.185,9.39,44,6.2,100.8
"06/14/10","21:00:40",18.75,0.185,9.27,44,6.1,99.5
"06/14/10","21:04:40",18.79,0.185,9.20,44,6.1,98.8
"06/14/10","21:08:40",18.73,0.185,9.24,44,6.1,99.1
"06/14/10","21:12:40",18.74,0.185,9.23,44,6.1,99.0
"06/14/10","21:16:40",18.70,0.185,9.37,44,6.2,100.5
"06/14/10","21:20:40",18.64,0.185,9.32,44,6.1,99.8
"06/14/10","21:24:40",18.66,0.185,9.28,44,6.2,99.3
"06/14/10","21:28:40",18.67,0.185,9.30,44,6.0,99.6
"06/14/10","21:32:40",18.69,0.185,9.28,44,6.1,99.4
"06/14/10","21:36:40",18.63,0.185,9.28,44,6.1,99.3
"06/14/10","21:40:40",18.63,0.184,9.55,44,6.1,102.3
"06/14/10","21:44:40",18.65,0.184,9.40,44,6.1,100.7
"06/14/10","21:48:40",18.67,0.184,9.51,44,6.0,101.9
"06/14/10","21:52:40",18.68,0.184,9.53,44,6.0,102.1
"06/14/10","21:56:40",18.69,0.184,9.05,43,6.0,97.0
"06/14/10","22:00:40",18.72,0.185,9.08,44,6.1,97.4
"06/14/10","22:04:40",18.72,0.185,9.43,44,6.0,101.1
"06/14/10","22:08:40",18.74,0.185,9.30,44,6.0,99.7
"06/14/10","22:12:40",18.78,0.185,9.00,43,6.0,96.6
"06/14/10","22:16:40",18.76,0.185,8.99,43,6.0,96.5
"06/14/10","22:20:40",18.76,0.185,9.00,43,6.0,96.6
"06/14/10","22:24:40",18.73,0.185,8.97,43,6.0,96.2
"06/14/10","22:28:40",18.73,0.185,8.87,43,6.0,95.1
"06/14/10","22:32:40",18.74,0.185,8.89,43,6.0,95.3
"06/14/10","22:36:40",18.73,0.185,8.95,43,6.0,96.0
"06/14/10","22:40:40",18.72,0.185,8.97,43,6.0,96.2
"06/14/10","22:44:40",18.71,0.185,8.90,43,6.0,95.5
"06/14/10","22:48:40",18.73,0.185,8.87,43,6.0,95.2
"06/14/10","22:52:40",18.74,0.185,8.89,43,6.0,95.4
"06/14/10","22:56:40",18.75,0.185,9.01,43,6.0,96.6
"06/14/10","23:00:40",18.78,0.185,9.19,44,6.0,98.6
"06/14/10","23:04:40",18.76,0.185,9.28,43,6.0,99.6
"06/14/10","23:08:40",18.77,0.185,9.47,44,6.0,101.7
"06/14/10","23:12:40",18.78,0.185,9.46,44,6.0,101.6
"06/14/10","23:16:40",18.75,0.185,9.33,44,6.0,100.1
"06/14/10","23:20:40",18.72,0.185,9.49,44,6.0,101.8
"06/14/10","23:24:40",18.69,0.185,9.30,44,6.0,99.7
"06/14/10","23:28:40",18.67,0.185,9.53,44,6.0,102.1
"06/14/10","23:32:40",18.70,0.185,9.47,44,6.0,101.5
"06/14/10","23:36:40",18.67,0.185,9.46,44,6.0,101.3
"06/14/10","23:40:40",18.68,0.185,9.55,44,6.0,102.3
"06/14/10","23:44:40",18.68,0.185,9.44,44,6.0,101.1
"06/14/10","23:48:40",18.67,0.185,9.33,44,6.0,99.9
"06/14/10","23:52:40",18.69,0.184,9.39,44,6.0,100.7
"06/14/10","23:56:40",18.68,0.184,9.66,44,6.0,103.5
"06/15/10","00:00:40",18.68,0.184,9.87,44,6.0,105.8
"06/15/10","00:04:40",18.72,0.184,9.74,44,6.0,104.4
"06/15/10","00:08:40",18.77,0.184,9.89,44,6.0,106.2
"06/15/10","00:12:40",18.78,0.183,9.89,44,6.0,106.2
"06/15/10","00:16:40",18.76,0.184,9.91,44,6.0,106.3
"06/15/10","00:20:40",18.81,0.183,9.90,44,6.0,106.4
"06/15/10","00:24:40",18.78,0.183,9.81,44,6.0,105.4
"06/15/10","00:28:40",18.83,0.183,9.90,45,6.0,106.4
"06/15/10","00:32:40",18.75,0.183,10.01,44,6.0,107.5
"06/15/10","00:36:40",18.76,0.183,10.15,44,6.0,108.9
"06/15/10","00:40:40",18.80,0.183,9.81,44,6.0,105.4
"06/15/10","00:44:40",18.77,0.184,9.97,44,5.9,107.1
"06/15/10","00:48:40",18.68,0.183,10.27,45,6.0,110.0
"06/15/10","00:52:40",18.63,0.183,10.31,45,6.0,110.3
"06/15/10","00:56:40",18.57,0.182,10.62,45,6.0,113.6
"06/15/10","01:00:40",18.56,0.182,10.69,45,6.0,114.3
"06/15/10","01:04:40",18.58,0.182,10.65,45,6.0,113.9
"06/15/10","01:08:40",18.56,0.182,10.68,45,6.0,114.2
"06/15/10","01:12:40",18.63,0.182,10.44,45,6.0,111.7
"06/15/10","01:16:40",18.69,0.183,9.55,44,6.0,102.4
"06/15/10","01:20:40",18.71,0.183,9.21,44,6.0,98.8
"06/15/10","01:24:40",18.72,0.184,9.20,44,5.9,98.7
"06/15/10","01:28:40",18.79,0.185,8.75,43,5.9,94.0
"06/15/10","01:32:40",18.73,0.185,9.01,43,5.9,96.6
"06/15/10","01:36:40",18.73,0.185,8.91,43,5.9,95.6
"06/15/10","01:40:40",18.74,0.185,8.69,43,5.9,93.3
"06/15/10","01:44:40",18.69,0.185,8.96,43,5.9,96.1
"06/15/10","01:48:40",18.71,0.185,8.80,43,5.9,94.3
"06/15/10","01:52:40",18.62,0.185,9.19,43,5.9,98.3
"06/15/10","01:56:40",18.69,0.184,8.44,43,5.9,90.5
"06/15/10","02:00:40",18.68,0.185,8.57,43,5.9,91.9
"06/15/10","02:04:40",18.69,0.185,8.75,43,5.9,93.8
"06/15/10","02:08:40",18.63,0.185,8.76,43,5.9,93.7
"06/15/10","02:12:40",18.66,0.185,8.77,43,5.9,93.9
"06/15/10","02:16:40",18.66,0.185,8.70,43,5.9,93.2
"06/15/10","02:20:40",18.66,0.185,8.77,43,5.9,93.9
"06/15/10","02:24:40",18.66,0.185,8.64,43,5.9,92.5
"06/15/10","02:28:40",18.62,0.185,8.84,43,5.9,94.6
"06/15/10","02:32:40",18.64,0.185,8.88,43,5.9,95.1
"06/15/10","02:36:40",18.57,0.185,8.69,43,5.9,92.9
"06/15/10","02:40:40",18.59,0.185,8.21,43,5.9,87.8
"06/15/10","02:44:40",18.59,0.186,8.07,42,5.9,86.3
"06/15/10","02:48:40",18.59,0.185,8.29,43,5.9,88.6
"06/15/10","02:52:40",18.60,0.185,8.55,43,5.9,91.4
"06/15/10","02:56:40",18.59,0.185,8.48,43,5.9,90.7
"06/15/10","03:00:40",18.58,0.185,8.62,43,5.9,92.2
"06/15/10","03:04:40",18.58,0.185,8.62,43,5.9,92.2
"06/15/10","03:08:40",18.57,0.185,8.61,43,5.9,92.0
"06/15/10","03:12:40",18.56,0.185,8.57,43,5.9,91.7
"06/15/10","03:16:40",18.56,0.185,8.53,43,5.9,91.2
"06/15/10","03:20:40",18.55,0.185,8.47,43,5.9,90.5
"06/15/10","03:24:40",18.54,0.185,8.54,43,5.9,91.2
"06/15/10","03:28:40",18.54,0.185,8.43,43,5.9,90.1
"06/15/10","03:32:40",18.53,0.185,8.34,43,5.9,89.1
"06/15/10","03:36:40",18.53,0.185,8.31,43,5.9,88.8
"06/15/10","03:40:40",18.52,0.185,8.39,43,5.9,89.6
"06/15/10","03:44:40",18.51,0.185,8.43,43,5.9,90.1
"06/15/10","03:48:40",18.50,0.185,8.39,43,5.9,89.5
"06/15/10","03:52:40",18.49,0.185,8.43,43,5.9,89.9
"06/15/10","03:56:40",18.47,0.185,8.34,43,5.9,89.0
"06/15/10","04:00:40",18.46,0.185,8.31,43,5.9,88.6
"06/15/10","04:04:40",18.46,0.185,8.31,43,5.9,88.7
"06/15/10","04:08:40",18.45,0.185,8.38,43,5.9,89.3
"06/15/10","04:12:40",18.45,0.185,8.51,43,5.9,90.8
"06/15/10","04:16:40",18.44,0.185,8.37,43,5.9,89.2
"06/15/10","04:20:40",18.43,0.185,8.33,43,5.9,88.9
"06/15/10","04:24:40",18.43,0.185,8.51,43,5.9,90.8
"06/15/10","04:28:40",18.43,0.185,8.47,43,5.9,90.3
"06/15/10","04:32:40",18.43,0.185,8.51,43,5.9,90.7
"06/15/10","04:36:40",18.43,0.185,8.55,43,5.9,91.2
"06/15/10","04:40:40",18.42,0.185,8.54,43,5.9,91.0
"06/15/10","04:44:40",18.41,0.185,8.49,43,5.9,90.5
"06/15/10","04:48:40",18.39,0.185,8.42,43,5.9,89.7
"06/15/10","04:52:40",18.38,0.185,8.35,43,5.9,88.9
"06/15/10","04:56:40",18.38,0.185,8.44,43,5.9,89.9
"06/15/10","05:00:40",18.38,0.185,8.45,43,5.9,90.0
"06/15/10","05:04:40",18.38,0.185,8.53,43,5.9,90.8
"06/15/10","05:08:40",18.37,0.185,8.47,43,5.9,90.2
"06/15/10","05:12:40",18.35,0.185,8.45,42,5.9,89.9
"06/15/10","05:16:40",18.36,0.185,8.50,43,5.9,90.5
"06/15/10","05:20:40",18.36,0.185,8.51,43,5.9,90.5
"06/15/10","05:24:40",18.35,0.185,8.50,43,5.9,90.4
"06/15/10","05:28:40",18.35,0.185,8.46,43,5.9,90.0
"06/15/10","05:32:40",18.34,0.185,8.45,43,5.9,89.9
"06/15/10","05:36:40",18.34,0.185,8.50,43,5.9,90.4
"06/15/10","05:40:40",18.32,0.185,8.48,43,5.9,90.2
"06/15/10","05:44:40",18.33,0.185,8.51,43,5.9,90.5
"06/15/10","05:48:40",18.32,0.185,8.51,43,5.9,90.5
"06/15/10","05:52:40",18.31,0.185,8.39,43,5.9,89.3
"06/15/10","05:56:40",18.30,0.185,8.43,43,5.9,89.6
"06/15/10","06:00:40",18.30,0.185,8.52,42,5.9,90.5
"06/15/10","06:04:40",18.29,0.185,8.46,42,5.9,90.0
"06/15/10","06:08:40",18.29,0.185,8.46,43,5.9,89.9
"06/15/10","06:12:40",18.27,0.185,8.38,43,5.9,89.1
"06/15/10","06:16:40",18.27,0.185,8.40,42,5.9,89.3
"06/15/10","06:20:40",18.27,0.185,8.42,43,5.9,89.5
"06/15/10","06:24:40",18.27,0.185,8.47,43,5.9,90.0
"06/15/10","06:28:40",18.27,0.185,8.47,43,5.9,90.0
"06/15/10","06:32:40",18.26,0.185,8.40,43,5.9,89.3
"06/15/10","06:36:40",18.25,0.185,8.42,43,5.9,89.4
"06/15/10","06:40:40",18.24,0.185,8.46,43,5.9,89.8
"06/15/10","06:44:40",18.24,0.185,8.37,43,5.9,88.8
"06/15/10","06:48:40",18.24,0.185,8.41,43,5.9,89.3
"06/15/10","06:52:40",18.23,0.185,8.44,43,5.9,89.6
"06/15/10","06:56:40",18.23,0.185,8.41,43,5.9,89.3
"06/15/10","07:00:40",18.22,0.185,8.43,43,5.9,89.5
"06/15/10","07:04:40",18.21,0.185,8.49,43,5.9,90.1
"06/15/10","07:08:40",18.21,0.185,8.49,43,5.9,90.1
"06/15/10","07:12:40",18.21,0.185,8.49,43,5.9,90.1
"06/15/10","07:16:40",18.20,0.185,8.45,43,5.9,89.7
"06/15/10","07:20:40",18.20,0.185,8.43,43,5.9,89.4
"06/15/10","07:24:40",18.18,0.185,8.39,43,5.9,89.0
"06/15/10","07:28:40",18.17,0.185,8.44,43,5.9,89.5
"06/15/10","07:32:40",18.18,0.185,8.46,43,5.9,89.8
"06/15/10","07:36:40",18.17,0.185,8.46,43,5.9,89.7
"06/15/10","07:40:40",18.16,0.185,8.35,43,5.9,88.6
"06/15/10","07:44:40",18.17,0.185,8.42,43,5.9,89.2
"06/15/10","07:48:40",18.14,0.184,8.42,43,5.9,89.2
"06/15/10","07:52:40",18.14,0.184,8.46,43,5.9,89.6
"06/15/10","07:56:40",18.13,0.184,8.47,42,5.9,89.7
"06/15/10","08:00:40",18.12,0.184,8.42,43,5.9,89.2
"06/15/10","08:04:40",18.12,0.184,8.39,43,5.9,88.9
"06/15/10","08:08:40",18.11,0.184,8.45,43,5.9,89.5
"06/15/10","08:12:40",18.11,0.184,8.47,43,5.9,89.7
"06/15/10","08:16:40",18.11,0.184,8.43,43,5.9,89.3
"06/15/10","08:20:40",18.10,0.184,8.42,42,5.9,89.2
"06/15/10","08:24:40",18.09,0.184,8.39,43,5.9,88.9
"06/15/10","08:28:40",18.08,0.184,8.45,43,5.9,89.4
"06/15/10","08:32:40",18.08,0.184,8.42,42,5.9,89.1
"06/15/10","08:36:40",18.08,0.184,8.41,43,5.9,89.0
"06/15/10","08:40:40",18.07,0.184,8.46,42,5.9,89.5
"06/15/10","08:44:40",18.07,0.184,8.46,43,5.9,89.6
"06/15/10","08:48:40",18.07,0.184,8.42,43,5.9,89.1
"06/15/10","08:52:40",18.06,0.184,8.42,43,5.9,89.1
"06/15/10","08:56:40",18.07,0.184,8.39,43,5.9,88.7
"06/15/10","09:00:40",18.06,0.184,8.44,42,5.9,89.3
"06/15/10","09:04:40",18.06,0.184,8.46,43,5.9,89.5
"06/15/10","09:08:40",18.06,0.184,8.44,43,5.9,89.3
"06/15/10","09:12:40",18.06,0.184,8.39,43,5.9,88.8
"06/15/10","09:16:40",18.06,0.184,8.36,42,5.9,88.5
"06/15/10","09:20:40",18.05,0.184,8.40,42,5.9,88.9
"06/15/10","09:24:40",18.06,0.184,8.39,43,5.9,88.8
"06/15/10","09:28:40",18.05,0.184,8.46,42,5.9,89.5
"06/15/10","09:32:40",18.05,0.184,8.43,43,5.9,89.2
"06/15/10","09:36:40",18.06,0.184,8.41,43,5.9,89.0
"06/15/10","09:40:40",18.06,0.184,8.47,43,5.9,89.7
"06/15/10","09:44:40",18.07,0.184,8.45,43,5.9,89.4
"06/15/10","09:48:40",18.07,0.184,8.49,43,5.9,89.8
"06/15/10","09:52:40",18.07,0.184,8.46,43,5.9,89.5
"06/15/10","09:56:40",18.08,0.184,8.46,43,5.9,89.6
"06/15/10","10:00:40",18.08,0.184,8.52,42,5.9,90.1
"06/15/10","10:04:40",18.09,0.184,8.48,43,5.9,89.8
"06/15/10","10:08:40",18.08,0.184,8.54,43,5.9,90.4
"06/15/10","10:12:40",18.09,0.184,8.57,42,5.9,90.7
"06/15/10","10:16:40",18.09,0.184,8.58,43,5.9,90.8
"06/15/10","10:20:40",18.10,0.184,8.53,43,5.9,90.4
"06/15/10","10:24:40",18.11,0.184,8.59,43,5.9,90.9
"06/15/10","10:28:40",18.11,0.184,8.56,43,5.9,90.6
"06/15/10","10:32:40",18.11,0.184,8.60,43,5.9,91.1
"06/15/10","10:36:40",18.11,0.184,8.58,43,5.9,90.9
"06/15/10","10:40:40",18.11,0.184,8.62,43,5.9,91.3
"06/15/10","10:44:40",18.11,0.184,8.60,43,5.9,91.1
"06/15/10","10:48:40",18.11,0.184,8.58,43,5.9,90.9
"06/15/10","10:52:40",18.11,0.184,8.65,43,5.9,91.6
"06/15/10","10:56:40",18.11,0.184,8.67,43,5.9,91.8
"06/15/10","11:00:40",18.12,0.184,8.67,43,5.9,91.9
"06/15/10","11:04:40",18.11,0.183,8.70,43,5.9,92.1
"06/15/10","11:08:40",18.11,0.183,8.67,43,5.9,91.8
"06/15/10","11:12:40",18.12,0.183,8.71,43,5.9,92.3
"06/15/10","11:16:40",18.13,0.183,8.66,43,5.9,91.8
"06/15/10","11:20:40",18.15,0.183,8.73,43,5.9,92.5
"06/15/10","11:24:40",18.17,0.183,8.73,43,5.9,92.5
"06/15/10","11:28:40",18.19,0.183,8.73,43,5.9,92.6
"06/15/10","11:32:40",18.22,0.183,8.76,43,5.9,93.0
"06/15/10","11:36:40",18.26,0.183,8.79,43,5.9,93.4
"06/15/10","11:40:40",18.35,0.183,8.75,43,5.8,93.1
"06/15/10","11:44:40",18.38,0.183,8.83,43,5.8,94.1
"06/15/10","11:48:40",18.45,0.183,8.73,43,5.9,93.1
"06/15/10","11:52:40",18.46,0.183,8.81,43,5.9,93.9
"06/15/10","11:56:40",18.50,0.183,8.82,43,5.9,94.1
"06/15/10","12:00:40",18.43,0.183,8.92,43,5.9,95.1
"06/15/10","12:04:40",18.59,0.183,8.83,43,5.9,94.5
"06/15/10","12:08:40",18.63,0.183,8.81,43,5.9,94.3
"06/15/10","12:12:40",18.66,0.183,8.83,43,5.9,94.6
"06/15/10","12:16:40",18.39,0.183,8.92,43,5.9,95.0
"06/15/10","12:20:40",18.23,0.183,8.76,43,5.9,93.0
"06/15/10","12:24:40",18.24,0.183,8.77,43,5.9,93.1
"06/15/10","12:28:40",18.22,0.183,8.87,43,5.8,94.2
"06/15/10","12:32:40",18.20,0.183,8.78,43,5.9,93.2
"06/15/10","12:36:40",18.24,0.183,8.79,43,5.9,93.3
"06/15/10","12:40:40",18.23,0.183,8.90,44,5.9,94.5
"06/15/10","12:44:40",18.28,0.183,8.93,43,5.9,94.9
"06/15/10","12:48:40",18.32,0.183,8.99,43,5.9,95.6
"06/15/10","12:52:40",18.33,0.183,8.97,43,5.9,95.4
"06/15/10","12:56:40",18.36,0.183,8.89,43,5.8,94.6
"06/15/10","13:00:40",18.36,0.183,8.81,43,5.9,93.8
"06/15/10","13:04:40",18.38,0.183,8.74,43,5.8,93.1
"06/15/10","13:08:40",18.38,0.183,8.86,43,5.9,94.4
"06/15/10","13:12:40",18.39,0.183,8.88,43,5.9,94.6
"06/15/10","13:16:40",18.39,0.183,8.84,43,5.8,94.2
"06/15/10","13:20:40",18.40,0.183,8.82,43,5.9,94.0
"06/15/10","13:24:40",18.40,0.183,8.82,44,5.8,94.0
"06/15/10","13:28:40",18.42,0.183,8.83,43,5.9,94.1
"06/15/10","13:32:40",18.47,0.183,8.86,44,5.8,94.5
"06/15/10","13:36:40",18.49,0.183,8.96,43,5.9,95.7
"06/15/10","13:40:40",18.53,0.183,9.04,43,5.9,96.6
"06/15/10","13:44:40",18.59,0.183,8.91,43,5.9,95.3
"06/15/10","13:48:40",18.61,0.183,9.00,43,5.8,96.3
"06/15/10","13:52:40",18.63,0.183,8.97,43,5.8,96.1
"06/15/10","13:56:40",18.64,0.183,8.97,43,5.8,96.0
"06/15/10","14:00:40",18.67,0.183,8.96,43,5.8,96.0
"06/15/10","14:04:40",18.70,0.183,8.95,43,5.8,95.9
"06/15/10","14:08:40",18.66,0.183,8.90,43,5.8,95.3
"06/15/10","14:12:40",18.65,0.183,8.94,43,5.8,95.7
"06/15/10","14:16:40",18.70,0.183,8.95,43,5.8,95.9
"06/15/10","14:20:40",18.75,0.183,8.96,43,5.8,96.1
"06/15/10","14:24:40",18.75,0.183,8.95,43,5.9,96.0
"06/15/10","14:28:40",18.75,0.183,8.94,43,5.8,95.9
"06/15/10","14:32:40",18.78,0.183,8.95,43,5.8,96.1
"06/15/10","14:36:40",18.80,0.183,8.89,43,5.8,95.5
"06/15/10","14:40:40",18.82,0.183,8.92,43,5.8,95.8
"06/15/10","14:44:40",18.84,0.183,8.94,43,5.8,96.1
"06/15/10","14:48:40",18.87,0.183,8.90,43,5.8,95.8
"06/15/10","14:52:40",18.85,0.183,8.93,43,5.8,96.0
"06/15/10","14:56:40",18.84,0.183,9.04,43,5.8,97.2
"06/15/10","15:00:40",18.86,0.183,9.07,43,5.8,97.6
"06/15/10","15:04:40",18.84,0.183,9.16,43,5.8,98.5
"06/15/10","15:08:40",18.83,0.183,9.29,44,5.8,99.8
"06/15/10","15:12:40",18.85,0.183,9.21,44,5.8,99.0
"06/15/10","15:16:40",18.83,0.183,9.38,44,5.8,100.8
"06/15/10","15:20:40",18.90,0.183,9.26,44,5.8,99.7
"06/15/10","15:24:40",18.91,0.183,9.38,43,5.8,101.0
"06/15/10","15:28:40",18.89,0.183,9.28,44,5.8,99.9
"06/15/10","15:32:40",18.94,0.183,9.11,44,5.9,98.1
"06/15/10","15:36:40",18.93,0.183,9.31,44,5.8,100.3
"06/15/10","15:40:40",18.94,0.183,9.29,44,5.7,100.1
"06/15/10","15:44:40",18.87,0.183,9.47,44,5.8,101.9
"06/15/10","15:48:40",18.89,0.183,9.42,44,5.8,101.4
"06/15/10","15:52:40",18.89,0.183,9.49,44,5.8,102.1
"06/15/10","15:56:40",18.93,0.183,9.37,44,5.7,100.9
"06/15/10","16:00:40",18.87,0.183,9.44,44,5.8,101.6
"06/15/10","16:04:40",18.94,0.183,9.38,44,5.8,101.0
"06/15/10","16:08:40",18.93,0.183,9.34,44,5.8,100.6
"06/15/10","16:12:40",18.97,0.183,9.26,44,5.7,99.8
"06/15/10","16:16:40",18.98,0.183,9.18,43,5.8,99.0
"06/15/10","16:20:40",19.03,0.183,9.17,44,5.7,98.9
"06/15/10","16:24:40",19.02,0.183,9.21,44,5.7,99.3
"06/15/10","16:28:40",19.01,0.183,9.14,43,5.7,98.6
"06/15/10","16:32:40",19.02,0.183,9.15,44,5.7,98.7
"06/15/10","16:36:40",18.98,0.183,9.20,44,5.7,99.1
"06/15/10","16:40:40",18.97,0.183,9.30,44,5.8,100.3
"06/15/10","16:44:40",18.97,0.183,9.37,44,5.7,101.0
"06/15/10","16:48:40",18.94,0.183,9.35,44,5.7,100.7
"06/15/10","16:52:40",18.92,0.183,9.45,44,5.8,101.8
"06/15/10","16:56:40",18.92,0.183,9.43,44,5.7,101.5
"06/15/10","17:00:40",18.87,0.183,9.46,44,5.7,101.8
"06/15/10","17:04:40",18.86,0.183,9.47,44,5.7,101.8
"06/15/10","17:08:40",18.78,0.183,9.43,44,5.8,101.3
"06/15/10","17:12:40",18.78,0.183,9.27,44,5.7,99.5
"06/15/10","17:16:40",18.78,0.183,9.30,43,5.7,99.8
"06/15/10","17:20:40",18.77,0.183,9.34,43,5.8,100.3
"06/15/10","17:24:40",18.80,0.183,9.31,44,5.7,100.0
"06/15/10","17:28:40",18.82,0.183,9.36,44,5.7,100.6
"06/15/10","17:32:40",18.88,0.183,9.41,44,5.7,101.3
"06/15/10","17:36:40",18.94,0.183,9.41,44,5.7,101.3
"06/15/10","17:40:40",18.92,0.183,9.35,44,5.7,100.7
"06/15/10","17:44:40",18.86,0.183,9.33,44,5.7,100.4
"06/15/10","17:48:40",18.86,0.183,9.38,44,5.7,100.9
"06/15/10","17:52:40",18.96,0.182,9.56,44,5.7,103.1
"06/15/10","17:56:40",19.00,0.183,9.45,44,5.7,101.9
"06/15/10","18:00:40",18.98,0.183,9.32,44,5.7,100.4
"06/15/10","18:04:40",18.97,0.183,9.48,44,5.7,102.1
"06/15/10","18:08:40",18.87,0.183,9.44,44,5.7,101.5
"06/15/10","18:12:40",18.82,0.183,9.24,44,5.7,99.3
"06/15/10","18:16:40",18.85,0.183,9.25,43,5.7,99.5
"06/15/10","18:20:40",18.89,0.183,9.35,44,5.7,100.7
"06/15/10","18:24:40",18.92,0.183,9.40,44,5.7,101.2
"06/15/10","18:28:40",18.92,0.183,9.29,43,5.7,100.0
"06/15/10","18:32:40",18.93,0.183,9.39,44,5.7,101.1
"06/15/10","18:36:40",18.94,0.183,9.38,44,5.7,101.0
"06/15/10","18:40:40",18.96,0.183,9.39,44,5.7,101.2
"06/15/10","18:44:40",18.93,0.183,9.41,44,5.7,101.3
"06/15/10","18:48:40",18.90,0.183,9.40,44,5.7,101.2
"06/15/10","18:52:40",18.90,0.183,9.33,44,5.7,100.4
"06/15/10","18:56:40",18.91,0.183,9.35,44,5.7,100.6
"06/15/10","19:00:40",18.91,0.183,9.41,44,5.7,101.3
"06/15/10","19:04:40",18.91,0.183,9.41,44,5.7,101.3
"06/15/10","19:08:40",18.92,0.183,9.41,44,5.7,101.3
"06/15/10","19:12:40",18.93,0.183,9.35,44,5.7,100.7
"06/15/10","19:16:40",18.93,0.183,9.42,44,5.7,101.4
"06/15/10","19:20:40",18.95,0.183,9.44,44,5.7,101.7
"06/15/10","19:24:40",18.96,0.183,9.41,44,5.7,101.4
"06/15/10","19:28:40",18.97,0.183,9.36,44,5.7,100.9
"06/15/10","19:32:40",18.97,0.183,9.39,44,5.7,101.2
"06/15/10","19:36:40",18.98,0.183,9.41,44,5.7,101.4
"06/15/10","19:40:40",18.98,0.183,9.36,44,5.7,100.9
"06/15/10","19:44:40",18.99,0.183,9.36,44,5.7,100.9
"06/15/10","19:48:40",18.98,0.183,9.37,44,5.7,101.0
"06/15/10","19:52:40",18.98,0.183,9.30,44,5.7,100.3
"06/15/10","19:56:40",18.96,0.183,9.25,44,5.7,99.7
"06/15/10","20:00:40",18.97,0.183,9.31,44,5.7,100.3
"06/15/10","20:04:40",18.94,0.183,9.41,44,5.7,101.4
"06/15/10","20:08:40",18.95,0.183,9.34,44,5.7,100.7
"06/15/10","20:12:40",18.95,0.183,9.37,44,5.7,101.0
"06/15/10","20:16:40",18.96,0.183,9.42,44,5.7,101.5
